NAMESPACE                NAME                                                     READY   STATUS                       RESTARTS           AGE     IP                NODE                    NOMINATED NODE   READINESS GATES
lawapp-rag               lawapp-backup-restore-proof-frvqx                        0/1     Error                        0                  3d7h    10.244.4.63       talos-5h3-83r           <none>           <none>
lawapp-rag               lawapp-backup-restore-proof-fv259                        0/1     Error                        0                  3d7h    10.244.4.72       talos-5h3-83r           <none>           <none>
lawapp-rag               lawapp-backup-restore-proof-hm9rz                        0/1     Error                        0                  3d7h    10.244.4.68       talos-5h3-83r           <none>           <none>
lawapp-rag               lawapp-backup-restore-proof-hw87c                        0/1     Error                        0                  3d7h    10.244.5.81       talos-138-201-202-174   <none>           <none>
lawapp-rag               lawapp-backup-restore-proof-m4vz5                        0/1     Error                        0                  3d7h    10.244.5.83       talos-138-201-202-174   <none>           <none>
lawapp-rag               lawapp-crawler-6658f7998c-nmr2r                          0/1     Pending                      0                  24h     <none>            <none>                  <none>           <none>
lawapp-rag               lawapp-crawler-78dff9d96-6wsb5                           1/1     Running                      0                  24h     10.244.0.72       talos-h93-b9x           <none>           <none>
lawapp-rag               lawapp-postgres-0                                        1/1     Running                      0                  4d14h   10.244.5.67       talos-138-201-202-174   <none>           <none>
lawapp-rag               lawapp-rag-ingestion-77c8c7cfbb-ltcrb                    1/1     Running                      0                  23h     10.244.5.48       talos-138-201-202-174   <none>           <none>
lawapp-rag               lawapp-rag-retrieval-67877c778b-t5jmm                    1/1     Running                      0                  23h     10.244.5.45       talos-138-201-202-174   <none>           <none>
lawapp-rag               lawapp-worker-c84989df6-gt4lg                            1/1     Running                      0                  23h     10.244.5.49       talos-138-201-202-174   <none>           <none>
lawapp-security          lawapp-citation-guard-77cbb75db9-kd7gq                   1/1     Running                      0                  23h     10.244.5.50       talos-138-201-202-174   <none>           <none>
local-path-storage       local-path-provisioner-596f9747-bxh82                    1/1     Running                      0                  6d9h    10.244.0.39       talos-h93-b9x           <none>           <none>
